"","title_proximity_tfidf","description_proximity_tfidf","main_query_tfidf","query_jl_score","query_title_score","city_match","job_age_days","apply","search_date_pacific","class_id"
"549",0,0,0,0.015100259,0.021819407,1,6,0,"2018-01-23",3137307170067786240
"188",0,0,0,0.011113059,0.01344157,1,3,0,"2018-01-24",-6998215076096305152
"804",9.197644,0.028869221,0,0.01896124,0.013888889,1,1,0,"2018-01-24",8822383975910322176
"738",0,0,1.1595632,0.012620781,0.015803698,1,8,0,"2018-01-26",4.315422483091e+18
"655",15.947648,0,3.131012,0.024912337,0.027712349,0,27,0,"2018-01-23",-4175733961318103552
"1157",0,0,0.84858334,0.010851126,0.008191726,1,7,0,"2018-01-24",9187774158059236352
"547",0,0,2.6169658,0.013546675,0.026418908,1,0,1,"2018-01-23",-7485608206391772160
"1236",0,0,1.3165127,0.008195024,0.010411542,1,3,0,"2018-01-25",9204124302215888896
"1291",0,0,0,0.006129141,0.006780774,1,2,0,"2018-01-26",1861515439563363328
"213",14.15044,0.23054874,3.53761,0.01060003,0.00880544,0,6,0,"2018-01-23",-7435860353377593344
"941",14.669287,0.104662776,3.4193943,0.018665701,0.008196721,0,3,0,"2018-01-27",-5302120391854416896
"1329",0,0,0,1e-06,0.0019005461,0,13,0,"2018-01-23",-507318753207970304
"303",0,0,2.8187473,1e-06,1e-06,0,1,0,"2018-01-26",-7731275881257459712
"194",0,0,1.0425198,0.015882451,0.016713692,1,37,0,"2018-01-26",-2633997089996197376
"780",0,0,1.7199336,0.01827799,0.02365067,0,1,0,"2018-01-23",-547059124907035648
"707",0,0,5.8209496,0.019952673,0.036104497,0,13,0,"2018-01-24",1424940020905479168
"119",0,0,3.4447715,0.01377735,0.011779801,1,24,0,"2018-01-23",-507318753207970304
"1170",0,0,1.4742805,0.007076155,0.006829526,0,15,0,"2018-01-23",2666095119806832128
"381",0,0,1.0243318,1e-06,0.012036494,0,19,0,"2018-01-24",-4530023448177795584
"103",18.400007,0.3846779,0,0.011387299,0.06484421,0,1,0,"2018-01-24",1424940020905479168
"1145",0,0,0,0.01524986,0.010800816,1,0,0,"2018-01-23",-3214316587352202752
"1628",0,0.21634547,0,0.026162688,0.028607473,1,6,0,"2018-01-25",3820235585099670016
"1670",23.103676,0.018769296,4.9693155,0.008453822,0.19614714,1,27,0,"2018-01-25",-1614082818015232512
"480",0,0,0,0.015805935,0.013692568,0,27,0,"2018-01-23",-4246715430060585472
"1300",0,0.49170268,0.048387628,0.017500736,0.018942049,1,4,0,"2018-01-26",9124072227722530816
"397",0,2.525119,0.39368096,0.02252652,0.015121912,1,7,0,"2018-01-24",-4397799785543263232
"1138",11.082093,0.030974627,3.3597531,0.01897765,0.035094675,1,0,0,"2018-01-24",7071217935712041984
"621",0,0,0,0.016644344,0.019631546,0,4,0,"2018-01-25",-7613806991329176576
"1214",0,0,0.10631457,0.01882881,0.01665967,1,4,0,"2018-01-21",-507318753207970304
"41",0,0,2.6474133,0.044445608,0.008203057,0,6,0,"2018-01-23",-1614082818015232512
"1602",0,0,1.1393627,1e-06,0.020647224,1,0,0,"2018-01-25",-6998215076096305152
"1313",14.379437,0.20793945,3.5948594,0.013721834,0.015173186,1,4,0,"2018-01-23",1424940020905479168
"412",0,0,2.4062474,0.0052981926,0.008403163,0,3,0,"2018-01-21",-1614082818015232512
"856",0,0,0,0.024062725,0.022071714,1,1,0,"2018-01-23",-5302120391854416896
"1101",0,0.16461928,0,0.019910598,0.018518519,1,1,0,"2018-01-26",-3724252576497870848
"241",0,0.056406297,2.1644611,0.021063201,0.06678385,0,23,1,"2018-01-26",-461013632408289408
"1593",22.839981,0.054960888,5.062274,0.017537087,0.22558764,1,27,0,"2018-01-25",-7268106225594404864
"894",0,0,0,0.009985821,0.020849312,0,8,0,"2018-01-25",1384646523120192000
"105",35.442467,0.076732375,7.6905212,0.025477938,0.18747441,1,8,0,"2018-01-23",-2633997089996197376
"1471",0,0,0,0.006346899,0.0062366636,1,3,0,"2018-01-21",4911506883166819328
"881",0,0,0,0.026985675,0.04175932,1,2,0,"2018-01-26",-2363588769751115776
"101",0,0,0,0.028844507,0.029790228,1,28,0,"2018-01-24",3519666681604228608
"876",0,0,0,0.010392993,0.004048583,0,16,0,"2018-01-23",-1627412911764431360
"467",0,0,1.7346485,0.0070447484,0.016849827,1,12,0,"2018-01-24",-6998215076096305152
"545",0,0,0,0.021980943,0.024691856,1,13,0,"2018-01-23",551566471067073792
"862",0,0.0440961,0,0.016853398,0.017324492,1,1,0,"2018-01-24",8821162609494818816
"1661",0,0,2.24257,0.012588168,0.012093974,1,9,0,"2018-01-25",-8060438743201922048
"1401",0,0,1.2831223,0.012881087,0.009591959,0,2,0,"2018-01-27",1861515439563363328
"1059",0,0,0,0.0144418,0.013622702,1,8,0,"2018-01-24",8821162609494818816
"1024",0,0,0,0.012824315,0.012681201,0,21,0,"2018-01-24",-3623880078591607808
"848",0,0,0,0.015374113,0.05559717,1,8,0,"2018-01-24",-6998215076096305152
"628",0,0,0,0.012740225,0.013068516,1,4,0,"2018-01-25",-6998215076096305152
"139",0,0,0,0.010170959,0.00990099,1,3,0,"2018-01-21",-4246715430060585472
"791",0,0.064919874,3.5738952,0.008994928,0.010874951,0,1,0,"2018-01-25",-7613806991329176576
"240",0,0,1.6503339,0.013577879,0.0117057655,1,1,0,"2018-01-23",8238500898095513600
"750",19.375671,0.037423372,4.1358967,0.011033422,0.012469873,1,4,0,"2018-01-23",284924936766195200
"931",0,0,1.4508811,0.01092669,0.01241167,0,13,0,"2018-01-25",-547059124907035648
"1562",0,0,0,0.011850786,0.009433962,0,1,0,"2018-01-21",4.315422483091e+18
"1349",0,0,1.1475174,0.009009009,0.0078125,0,0,0,"2018-01-23",-7706973126229505024
"1023",0,0,0,0.016886795,0.033083316,1,2,0,"2018-01-25",7071217935712041984
"494",0,0,0,0.014335464,0.22706081,0,6,0,"2018-01-24",4.315422483091e+18
"624",0,0,1.3531623,0.008350599,0.007575758,0,1,1,"2018-01-23",2666095119806832128
"1108",0,0.31257448,0,0.028046317,0.071380086,1,2,1,"2018-01-27",-2045482504961250560
"758",0,0,4.3678985,0.011424585,0.017002016,1,8,1,"2018-01-21",-5302120391854416896
"1667",12.250882,0.06068311,3.7140946,0.020991838,0.020150755,1,13,0,"2018-01-23",-3696411351851333120
"1195",12.083315,0.025244659,0,0.045981493,0.109692276,0,5,0,"2018-01-23",-3214316587352202752
"565",0,0,0,0.01369863,0.019931192,0,3,0,"2018-01-26",731257982052660480
"1187",0,0.16829869,0,0.01657967,0.021337874,1,23,0,"2018-01-21",-461013632408289408
"973",0,0.17036709,0,0.018867925,0.0125,1,12,0,"2018-01-21",3519666681604228608
"950",0,0,0,0.010546797,0.038362667,1,3,0,"2018-01-22",4.315422483091e+18
"879",0,0,0,0.012136866,0.031007174,1,23,0,"2018-01-25",9187774158059236352
"35",15.13137,0.03467966,4.8559732,0.009345794,0.14939632,1,5,0,"2018-01-24",-1614082818015232512
"74",24.685165,0,5.3364534,0.04644736,0.21418421,1,2,0,"2018-01-24",8530323770842618880
"1029",0,0,2.122957,0.0054680365,0.0056309868,0,1,0,"2018-01-23",4911506883166819328
"863",0,0,0,0.016654823,0.045059543,0,10,1,"2018-01-21",-4414251511891853824
"1317",0,0.03872379,4.086628,0.007518797,0.006451613,1,17,0,"2018-01-26",-7867367934152049664
"1524",0,0,0,0.010562869,0.011779562,0,17,0,"2018-01-25",8821162609494818816
"1546",8.666754,0.26991487,2.1666884,0.015448379,0.01718237,0,6,0,"2018-01-24",-547059124907035648
"342",0,0.024754021,0,0.013915761,0.015942562,1,18,0,"2018-01-23",-507318753207970304
"217",0,0,0,0.017381158,0.01680525,1,3,0,"2018-01-23",1242265857543364096
"1489",28.756876,0.06633133,6.4978666,0.026641779,0.02596081,0,28,0,"2018-01-25",8822383975910322176
"712",0,0.07705174,0,0.016066153,0.0176626,1,0,0,"2018-01-24",-507318753207970304
"1140",26.964354,0.050535526,5.6701365,0.01502087,0.010309278,0,26,0,"2018-01-21",8980388029261832192
"1391",0,0,2.4990096,0.016666668,0.01923077,0,19,0,"2018-01-25",3820235585099670016
"1522",27.519434,0.28401598,4.8656836,0.015151516,0.08903266,1,20,0,"2018-01-21",-4175733961318103552
"1534",16.662464,0.04147255,3.599023,0.015151516,0.015151516,0,4,0,"2018-01-27",8530323770842618880
"784",0,0,3.3364637,0.010149468,0.0088495575,1,8,0,"2018-01-24",3137307170067786240
"1053",0,0,0,0.020231228,0.014403227,0,22,0,"2018-01-23",-7268106225594404864
"1402",9.562387,0.028496087,0,0.040333897,0.0439765,1,23,0,"2018-01-23",-3214316587352202752
"80",18.218554,1.503765,4.5546384,0.03908167,0.03231506,0,25,0,"2018-01-23",-4246715430060585472
"1410",0,0,1.5694349,0.011122753,0.020647487,0,11,0,"2018-01-27",8147585998651961344
"1169",0,0,0,0.014084507,0.031877186,1,1,0,"2018-01-24",-4246715430060585472
"898",1.977148,0.030113408,1.3953886,0.010752688,0.011494253,1,8,0,"2018-01-23",4.315422483091e+18
"1179",0,0.033966646,4.657412,0.021744754,0.04501626,1,0,0,"2018-01-26",-6119409206348088320
"1475",23.8656,0,0,0.017242992,0.22146434,0,1,1,"2018-01-21",-7731275881257459712
"221",0,0,0,0.025718942,0.023937546,0,7,0,"2018-01-23",6486711527107561472
"1649",0,0.17464988,0,0.015151516,0.017477492,1,52,0,"2018-01-23",8822383975910322176
"1658",15.585308,0.3522694,3.896327,0.016885785,0.012541157,1,26,0,"2018-01-23",-4414251511891853824
"134",0,0,0,0.019572401,0.050557505,0,13,0,"2018-01-24",4672379463779748864
"704",18.98494,0.035067983,4.2041955,0.016507866,0.030389616,0,10,0,"2018-01-25",7929051477785046016
"1286",0,0,0.7725239,0.02788745,0.029601827,1,2,0,"2018-01-26",-4092669534112985088
"1341",23.098083,0.02280557,4.9981422,0.013513514,0.19614714,1,15,0,"2018-01-25",-1614082818015232512
"1462",0,0,0,0.021235075,0.014492754,1,6,0,"2018-01-24",8530323770842618880
"1262",0,0,3.2278295,0.009584427,0.008808611,1,12,0,"2018-01-21",-3214316587352202752
"635",0,0,0,0.011209451,0.012534038,1,4,0,"2018-01-26",-4246715430060585472
"377",0,0.047940817,4.302496,0.021553371,0.019495647,1,22,0,"2018-01-27",4672379463779748864
"1414",26.393612,0.04199932,5.653802,0.027312309,0.29665598,1,26,0,"2018-01-24",-3214316587352202752
"110",0,0,1.6978471,0.017099673,0.017615004,0,17,0,"2018-01-25",-5441447297614617600
"1684",21.114243,0.030098516,4.527778,0.003327137,0.003365735,1,13,0,"2018-01-23",-4530023448177795584
"1030",0,0,2.1478584,0.0054680365,0.0056309868,0,1,1,"2018-01-23",4911506883166819328
"1199",0,0,0,0.008095896,0.008630453,0,0,0,"2018-01-21",1618823289277795072
"460",18.346594,0.034002002,3.9682631,0.01575401,0.020043734,0,28,0,"2018-01-23",8530323770842618880
"1076",0,0,0,0.010453754,0.020999026,0,6,0,"2018-01-23",387174923953940480
"320",21.90818,0.017871065,4.7753887,0.013157052,0.19614714,0,21,0,"2018-01-25",-1614082818015232512
"1569",4.5909314,0.014382291,1.891161,0.013098185,0.038612127,1,27,0,"2018-01-24",3820235585099670016
"1304",0,0,0,0.016721617,0.029507585,1,0,0,"2018-01-23",-4593390417958236672
"935",0,0,2.8605118,0.012323776,0.028983545,1,22,0,"2018-01-24",-7731275881257459712
"1379",0,0,0,0.01725279,0.042915653,0,1,0,"2018-01-25",-1340663555360675840
"699",0,0,0,0.0074844807,0.017054629,0,8,0,"2018-01-26",538133316569865920
"951",29.414656,0,6.3059397,0.022287657,0.22235301,1,26,0,"2018-01-25",-2363588769751115776
"1110",0,0.31257448,0,0.028046317,0.071380086,1,2,0,"2018-01-27",-2045482504961250560
"53",0,0,0,0.026355602,0.09274239,0,3,0,"2018-01-23",6486711527107561472
"72",0,0,0,0.01583196,0.02173913,1,12,0,"2018-01-25",1861515439563363328
"1459",2.7572465,0.017942036,1.737728,0.013082662,0.013914736,1,2,0,"2018-01-24",4672379463779748864
"1502",0,0,0,0.0135895135,0.015274639,0,6,1,"2018-01-24",9204124302215888896
"1148",23.213243,1.2216113,4.1079726,0.041981537,0.050979592,0,65,0,"2018-01-26",-7050533675921763328
"1443",0,0,0,0.01166804,0.00655395,0,5,0,"2018-01-23",-4175733961318103552
"94",0,0,0,0.010921695,0.022055618,0,10,0,"2018-01-23",-4593390417958236672
"250",10.305528,0.042406403,0,0.01896124,0.018533707,1,12,0,"2018-01-23",8822383975910322176
"302",0,0,1.3266768,1e-06,0.0048228423,0,7,0,"2018-01-24",4668204224781136896
"1584",0,0,0,0.011995897,0.0070422534,0,3,0,"2018-01-21",-2363588769751115776
"1323",13.344911,0.18404686,3.3362277,0.014600819,0.020259557,0,8,0,"2018-01-27",7711989119986958336
"84",0,0,2.0910993,1e-06,1e-06,0,2,0,"2018-01-26",8530323770842618880
"215",0,0.17394778,0,0.009803922,0.009433962,0,12,0,"2018-01-24",731257982052660480
"205",0,0,0,0.0234579,0.036256824,1,22,1,"2018-01-27",284924936766195200
"461",0,0,1.2225195,0.018881388,0.020018999,0,2,1,"2018-01-25",8147585998651961344
"267",0,0,1.179563,0.05157353,0.05654161,1,21,0,"2018-01-23",4672379463779748864
"414",0,0,0,0.009451386,0.010325023,1,7,0,"2018-01-25",-6998215076096305152
"351",0,0,2.5884678,1e-06,0.019209335,0,5,0,"2018-01-25",-3833503669829461504
"787",0,0,0,0.024196785,0.080839105,0,8,0,"2018-01-25",-4877799383121009664
"732",13.371592,0.044093035,3.5684195,0.023112874,0.018924622,1,5,0,"2018-01-23",-1361819269400927232
"1338",0,0,0,0.01725279,0.011622127,1,1,0,"2018-01-25",-794747569177404544
"1153",0,0,0,0.005096701,0.006134969,0,7,0,"2018-01-25",8238500898095513600
"1228",31.257683,0.35664427,0,0.015151516,0.05573363,1,14,0,"2018-01-26",-4246715430060585472
"429",14.399108,0.044760276,4.3653708,0.030255489,0.031584106,1,19,1,"2018-01-21",-4397799785543263232
"196",19.67327,0.11318808,4.221863,0.009587903,0.007704567,0,3,0,"2018-01-23",387174923953940480
"1115",8.480971,0.14321566,2.1202428,0.015554835,0.031235928,0,28,0,"2018-01-25",-547059124907035648
"1676",10.485418,0.22632812,2.6211953,0.012820513,0.026662705,1,15,0,"2018-01-26",-8220869288454573056
"500",27.68064,0.4122033,4.8937383,0.028280433,0.08270861,0,13,0,"2018-01-25",-4175733961318103552
"442",0,0,0,0.016666668,0.013993929,0,11,0,"2018-01-21",-2363588769751115776
"349",0,0,0,0.013784706,0.013157895,1,9,0,"2018-01-27",6668372929844503552
"1356",0,0.04615208,1.3488564,0.015187229,0.010589528,1,11,0,"2018-01-21",-5302120391854416896
"625",0,0,1.3531623,0.008350599,0.007575758,0,1,0,"2018-01-23",2666095119806832128
"773",0,0,2.5024395,0.014619997,0.020328952,1,6,1,"2018-01-23",551566471067073792
"436",11.471563,0.032136425,2.5165474,0.012975996,0.014259005,1,6,0,"2018-01-25",-1361819269400927232
"700",0,0,0,0.0074844807,0.017054629,0,8,1,"2018-01-26",538133316569865920
"247",0,0,0,0.009448378,0.027696881,0,13,0,"2018-01-26",-4530023448177795584
"747",17.600138,0,3.7403517,0.010869565,0.009009009,1,1,0,"2018-01-26",6486711527107561472
"284",9.767559,0,0,0.0134982085,0.008196721,0,0,1,"2018-01-23",-461013632408289408
"1363",0,0,0,0.020636069,0.18412624,0,4,0,"2018-01-24",8530323770842618880
"233",19.266642,0.054948,5.972002,0.012012649,0.105187304,0,3,0,"2018-01-27",7929051477785046016
"1198",0,0,0,0.01599165,0.03068517,1,23,0,"2018-01-21",4672379463779748864
"1610",17.126905,0.035024818,0,0.015374577,0.036676917,0,0,0,"2018-01-27",-4593390417958236672
"1452",0,0,0,0.01984656,0.023647746,1,5,0,"2018-01-23",5152161011087407104
"680",0,0,0.8842881,0.018886503,0.018954504,1,18,0,"2018-01-23",-5828252839757033472
"131",0,0,0.621485,0.00648466,0.0050326944,1,12,0,"2018-01-24",1861515439563363328
"1314",11.376131,0.27573338,2.8440328,0.015365589,0.026456175,1,11,0,"2018-01-23",-4246715430060585472
"1067",0,0.27846646,0,0.016063346,0.019568449,1,0,0,"2018-01-24",6135677934545197056
"1635",0,0,0,0.02695068,0.07257831,1,3,1,"2018-01-27",1242265857543364096
"232",23.653376,0.24447446,5.913344,0.013437457,0.09796194,0,1,0,"2018-01-23",-2363588769751115776
"630",0,0,0,0.012970744,0.019643046,0,15,0,"2018-01-26",2666095119806832128
"1434",0,0,0,0.016349062,0.020381302,0,1,0,"2018-01-25",551566471067073792
"1344",6.3673224,0.04097366,0,0.0055095744,0.0026894978,1,1,0,"2018-01-21",-3696411351851333120
"1616",7.715847,0.049964216,0,0.0135573065,0.019871669,0,13,0,"2018-01-25",-3214316587352202752
"531",0,0,0,0.02861361,0.028876314,0,15,0,"2018-01-26",8238500898095513600
"566",0,0,0,0.009536741,0.007633588,0,9,0,"2018-01-27",8530323770842618880
"1168",0,0,0,0.021372879,0.020408163,1,1,0,"2018-01-25",-4175733961318103552
"78",0,0,2.5900128,0.03303518,0.035273127,0,27,0,"2018-01-24",-4246715430060585472
"1451",0,0.15198159,0,0.009680904,0.014969248,1,15,1,"2018-01-24",8947106012270616576
"1200",0,0,2.0334647,0.02009955,0.019569498,1,10,0,"2018-01-25",-3623880078591607808
"1643",0,0,0,0.013888889,0.014705882,1,8,0,"2018-01-26",7651831109132427264
"165",0,0,0,0.0077562258,0.02041192,0,1,1,"2018-01-25",-4175733961318103552
"367",0,0,2.76491,0.014436882,0.01640959,0,1,1,"2018-01-24",-7731275881257459712
"1134",0,0,2.9244912,0.0083194515,0.007913279,1,0,0,"2018-01-26",-7613806991329176576
"339",0,0,1.7507238,0.0169361,0.0069400254,1,10,0,"2018-01-27",-3490894261616722944
"335",17.379889,0.059550103,6.531411,0.0091743115,0.010204081,0,3,0,"2018-01-25",-7613806991329176576
"948",21.344843,0.39919907,0,0.040386945,0.042651635,1,27,0,"2018-01-24",6668372929844503552
"495",0,0,0,0.011152288,0.22706081,0,6,0,"2018-01-24",4.315422483091e+18
"1258",0,0,0.085782,1e-06,1e-06,1,9,0,"2018-01-21",9202726581177086976
"957",0,0,2.9839456,0.011627907,0.009708738,1,13,0,"2018-01-24",-4832316967726682112
"1149",9.274346,0.07080145,2.9802287,0.0144587625,0.018615657,1,20,0,"2018-01-24",-3696411351851333120
"853",11.718904,0.9257606,2.929726,0.011897157,0.012820513,1,14,0,"2018-01-23",4.315422483091e+18
"1545",0,0.012575457,0.65748835,0.009886548,0.0062111802,1,1,0,"2018-01-23",-507318753207970304
"299",0,0,0,0.010019042,0.01272155,1,11,0,"2018-01-23",6486711527107561472
"60",14.288717,0,4.4611554,0.0117493505,0.014802919,0,0,0,"2018-01-25",1424940020905479168
"533",10.773323,0.06762571,2.0796657,0.009371052,0.009329688,1,2,0,"2018-01-26",-2405515834613861376
"1011",0,0,0.44507906,0.009533083,0.01111163,0,16,0,"2018-01-24",-4530023448177795584
"242",0,0.056406297,2.1644611,0.021063201,0.06678385,0,23,0,"2018-01-26",-461013632408289408
"192",0,0.01981625,1.6941539,0.021231981,0.021553678,0,4,0,"2018-01-25",6668372929844503552
"672",0,0,1.4134828,0.014875158,0.029166484,1,7,0,"2018-01-25",-7435860353377593344
"175",0,0,1.27295,0.014507702,0.012802513,0,3,0,"2018-01-21",-461013632408289408
"486",0,0.82502735,0.120831095,0.021503618,0.014092775,0,4,0,"2018-01-23",8530323770842618880
"1669",11.896333,0,2.9740832,0.012140778,0.015710846,0,1,0,"2018-01-25",2666095119806832128
"1051",0,0,0,0.020231228,0.014403227,0,22,0,"2018-01-23",-7268106225594404864
"332",10.363063,0.066041045,3.141765,0.015998129,0.013888889,0,0,0,"2018-01-24",-1340663555360675840
"443",0,0,0,0.020984547,0.18528742,0,15,0,"2018-01-26",8530323770842618880
"1211",16.525082,0.04055643,3.544712,0.014925373,0.01713523,1,6,0,"2018-01-24",8530323770842618880
"1374",0,0.056266844,0,0.02307161,0.019756675,1,94,0,"2018-01-21",7711989119986958336
"372",8.541189,0.053556807,2.703377,0.009672761,0.008608911,1,2,0,"2018-01-21",-507318753207970304
"525",0,0,1.4564607,0.015300614,0.009807579,0,11,0,"2018-01-23",7711989119986958336
"1328",0,0,0,1e-06,0.0019005461,0,13,0,"2018-01-23",-507318753207970304
"1071",7.2565503,0,0,0.03590179,0.040738072,0,21,0,"2018-01-24",-461013632408289408
"1105",0,0,2.4663904,0.04188686,0.046342906,0,25,0,"2018-01-26",-4397799785543263232
"1181",0,1.07242,0.14644845,0.026200965,0.02550945,1,21,0,"2018-01-24",4672379463779748864
"445",0,0,0.073249616,1e-06,0.01952345,0,2,0,"2018-01-26",1733282013472489728
"1347",20.793617,0.08302951,6.2987986,0.021030668,0.014462892,1,17,0,"2018-01-22",1717515879473504000
"214",0,0,2.146137,0.0077898214,0.0064591086,0,19,0,"2018-01-21",8530323770842618880
"1315",0,0,0,0.016230218,0.00952381,1,10,0,"2018-01-26",-4092669534112985088
"798",0,0,0,0.012059083,0.022503017,1,19,0,"2018-01-23",8238500898095513600
"1564",13.726882,0.48184153,3.4317205,0.016949153,0.0072036623,1,64,0,"2018-01-23",-3623880078591607808
"580",0,0.11146347,0,0.013031285,0.008333334,1,0,0,"2018-01-23",6135677934545197056
"1184",0,0,0,0.015596465,0.028338691,0,5,0,"2018-01-24",-6119409206348088320
"1331",0,0,1.0000165,1e-06,1e-06,1,1,0,"2018-01-25",-8850268828492112896
"515",0,0,0,0.020293644,0.06461893,0,0,0,"2018-01-23",-2363588769751115776
"155",0,0.2182381,0.017769957,0.010862528,0.01012385,0,1,0,"2018-01-25",8238500898095513600
"1158",0,0,0.22874328,1e-06,0.0678664,0,5,0,"2018-01-25",8530323770842618880
"1144",0,0.05333203,0,0.016394077,0.03461781,0,0,0,"2018-01-23",-6998215076096305152
"1353",0,0.27862594,0,0.051675513,0.052669276,0,8,0,"2018-01-25",-2045482504961250560
"1453",0,0,1.046226,0.01958109,0.01819236,0,9,0,"2018-01-26",-4246715430060585472
"97",8.210199,0,2.4884324,0.01639324,0.015917454,0,1,0,"2018-01-23",-1801735171625689344
"1571",0,0,2.381821,0.009615385,0.00990099,1,23,0,"2018-01-26",1859453293393938688
"1625",0,1.802497,0.21301499,0.024196314,0.020408163,1,18,0,"2018-01-26",3820235585099670016
"836",10.920769,0.24723828,2.7301922,0.016237717,0.0147829205,1,0,0,"2018-01-21",-4246715430060585472
"1263",12.923827,0.032245345,2.7940867,0.01573983,0.015779389,1,4,0,"2018-01-21",8530323770842618880
"662",0,0.012185973,0.844904,0.013915761,0.013077825,0,0,0,"2018-01-23",-7.816813376592e+18
"207",0,0,0,0.024741514,0.035101216,0,2,0,"2018-01-21",7929051477785046016
"769",16.258512,0.3095152,4.064628,0.015151516,0.02948159,0,25,0,"2018-01-22",-6416566229012080640
"1554",19.572762,0.25243688,4.8931904,0.02280383,0.0523234,0,26,0,"2018-01-21",-3623880078591607808
"1164",5.4022083,0.037381954,1.6372218,0.01639324,0.015917454,0,0,0,"2018-01-23",9124072227722530816
"1243",0,0.095019765,0,0.014650999,0.04294176,1,1,1,"2018-01-24",1384646523120192000
"561",0,0,0,0.0126030855,0.012034924,1,6,0,"2018-01-25",3137307170067786240
"1324",13.344911,0.18404686,3.3362277,0.014600819,0.020259557,0,8,1,"2018-01-27",7711989119986958336
"1142",0,0.03659555,1.7036622,0.012440285,0.012987013,1,4,0,"2018-01-27",284924936766195200
"350",8.493703,0.21066171,2.1234257,0.015497001,0.009409189,0,5,0,"2018-01-26",2029928808769267712
"1245",0,0,1.9609573,0.028389156,0.031249866,1,6,0,"2018-01-27",-7757112988245222400
"654",15.090329,0.06273237,4.574928,0.02046353,0.03306805,0,7,1,"2018-01-24",-944933816209602048
"752",0,0,0,0.008789065,0.06600097,1,6,1,"2018-01-21",-461013632408289408
