Date,Total doses,First dose,Second dose,First_dose_with_Pfizer,First_dose_with_Moderna,Second_dose_with_Pfizer,Second_dose_with_Moderna
7/29/2021,693944,272660,421284,228185,44475,387103,34181
7/28/2021,919192,348242,570950,289825,58417,523950,47000
7/27/2021,986073,373915,612158,319777,54138,558504,53654
7/26/2021,983212,347488,635724,286203,61285,580074,55650
7/25/2021,954189,305976,648213,239162,66814,599437,48776
7/24/2021,1032981,338615,694366,262595,76020,642393,51973
7/23/2021,384136,167057,217079,112821,54236,175150,41929
7/22/2021,515209,225757,289452,167907,57850,247771,41681
7/21/2021,1113489,508610,604879,425794,82816,561218,43661
7/20/2021,1129276,541130,588146,464173,76957,544165,43981
7/19/2021,862554,316824,545730,242337,74487,506185,39545
7/18/2021,1154797,501549,653248,429463,72086,617234,36014
7/17/2021,1276224,652572,623652,573626,78946,586872,36780
7/16/2021,1192455,625958,566497,550805,75153,536756,29741
7/15/2021,1214688,619790,594898,540536,79254,563128,31770
7/14/2021,1248268,634911,613357,556241,78670,581169,32188
7/13/2021,1249440,640287,609153,558592,81695,577915,31238
7/12/2021,1188878,594763,594115,527080,67683,563181,30934
7/11/2021,1240527,610929,629598,532185,78744,596442,33156
7/10/2021,1417984,801803,616181,708779,93024,583750,32431
7/9/2021,1322046,741261,580785,656984,84277,552085,28700
7/8/2021,1337141,752306,584835,671999,80307,556496,28339
7/7/2021,1355059,769312,585747,699014,70298,559175,26572
7/6/2021,1337582,732008,605574,666464,65544,577091,28483
7/5/2021,1260457,692227,568230,631434,60793,539987,28243
7/4/2021,1244740,700646,544094,646624,54022,521758,22336
7/3/2021,1300398,699832,600566,637051,62781,580687,19879
7/2/2021,1017796,376478,641318,327248,49230,621823,19495
7/1/2021,1068768,436832,631936,388810,48022,612345,19591
6/30/2021,1318403,641707,676696,592689,49018,657689,19007
6/29/2021,1305554,624159,681395,577232,46927,662365,19030
6/28/2021,1210122,585850,624272,540482,45368,605759,18513
6/27/2021,1237036,703386,533650,650365,53021,529031,4619
6/26/2021,1246864,668845,578019,614657,54188,574191,3828
6/25/2021,1223624,616218,607406,566930,49288,603642,3764
6/24/2021,1247138,633579,613559,587925,45654,610268,3291
6/23/2021,1259484,648579,610905,601002,47577,607542,3363
6/22/2021,1239450,647706,591744,599608,48098,589015,2729
6/21/2021,1119089,626557,492532,579913,46644,489308,3224
6/20/2021,1073628,639602,434026,600530,39072,434026,0
6/19/2021,1072349,639888,432461,603119,36769,432461,0
6/18/2021,1078473,597160,481313,567741,29419,481313,0
6/17/2021,1126553,621690,504863,590049,31641,504863,0
6/16/2021,1129378,611685,517693,581562,30123,517693,0
6/15/2021,1094635,629848,464787,600536,29312,464787,0
6/14/2021,986918,584768,402150,555367,29401,402150,0
6/13/2021,902278,588427,313851,554790,33637,313851,0
6/12/2021,912689,644426,268263,611627,32799,268263,0
6/11/2021,931389,677272,254117,648201,29071,254117,0
6/10/2021,959783,672335,287448,643335,29000,287448,0
6/9/2021,959803,686766,273037,659463,27303,273037,0
6/8/2021,924384,703732,220652,674574,29158,220652,0
6/7/2021,831125,649329,181796,620362,28967,181796,0
6/6/2021,734666,556746,177920,533947,22799,177920,0
6/5/2021,730814,607392,123422,586958,20434,123422,0
6/4/2021,751137,638228,112909,618005,20223,112909,0
6/3/2021,787481,654430,133051,634448,19982,133051,0
6/2/2021,785880,651245,134635,631628,19617,134635,0
6/1/2021,738795,631345,107450,612167,19178,107450,0
5/31/2021,615497,525642,89855,507328,18314,89855,0
5/30/2021,522059,457701,64358,441808,15893,64358,0
5/29/2021,522830,466447,56383,450930,15517,56383,0
5/28/2021,558823,518219,40604,503974,14245,40604,0
5/27/2021,583784,542445,41339,530057,12388,41339,0
5/26/2021,572908,561308,11600,549845,11463,11600,0
5/25/2021,515478,505219,10259,495438,9781,10259,0
5/24/2021,446563,436907,9656,427087,9820,9656,0
5/23/2021,347187,322867,24320,322867,0,24320,0
5/22/2021,320705,280014,40691,280014,0,40691,0
5/21/2021,320960,270612,50348,270612,0,50348,0
5/20/2021,335431,311729,23702,311729,0,23702,0
5/19/2021,360694,299013,61681,299013,0,61681,0
5/18/2021,304739,245489,59250,245489,0,59250,0
5/17/2021,250953,204936,46017,204936,0,46017,0
5/16/2021,207332,185512,21820,185512,0,21820,0
5/15/2021,166229,135535,30694,135535,0,30694,0
5/14/2021,169836,130000,39836,130000,0,39836,0
5/13/2021,195697,151489,44208,151489,0,44208,0
5/12/2021,199177,154529,44648,154529,0,44648,0
5/11/2021,161296,123792,37504,123792,0,37504,0
5/10/2021,124323,100070,24253,100070,0,24253,0
5/9/2021,81377,73136,8241,73136,0,8241,0
5/8/2021,66679,59899,6780,59899,0,6780,0
5/7/2021,52548,43745,8803,43745,0,8803,0
5/6/2021,51360,43998,7362,43998,0,7362,0
5/5/2021,10429,9523,906,9523,0,906,0
5/4/2021,8937,8198,739,8198,0,739,0
5/3/2021,8023,7197,826,7197,0,826,0
5/2/2021,24807,24807,0,24807,0,0,0
5/1/2021,40589,40589,0,40589,0,0,0
4/30/2021,67621,67621,0,67621,0,0,0
4/29/2021,20009,20009,0,20009,0,0,0
4/28/2021,88078,88078,0,88078,0,0,0
4/27/2021,80411,80411,0,80411,0,0,0
4/26/2021,61557,61557,0,61557,0,0,0
4/25/2021,24262,24262,0,24262,0,0,0
4/24/2021,36439,36439,0,36439,0,0,0
4/23/2021,55892,55892,0,55892,0,0,0
4/22/2021,58819,58819,0,58819,0,0,0
4/21/2021,60770,60770,0,60770,0,0,0
4/20/2021,50911,50911,0,50911,0,0,0
4/19/2021,33511,33511,0,33511,0,0,0
4/18/2021,8940,8940,0,8940,0,0,0
4/17/2021,8021,8021,0,8021,0,0,0
4/16/2021,10722,10722,0,10722,0,0,0
4/15/2021,8593,8593,0,8593,0,0,0
4/14/2021,4900,4900,0,4900,0,0,0
4/13/2021,4136,4136,0,4136,0,0,0
4/12/2021,4644,4644,0,4644,0,0,0