Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,Yes,Offline classes
Female,Off (Untidy appearance),On (To answer Teacher),Phone,Eye Strain,Yes,Black board teaching,Yes,Offline classes
Female,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Offline classes
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes
Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab",No Issue,No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes
Male,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes
Male,On (All the time),Always On,"Laptop, Computer","Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Stress,No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes
Male,Off (No webcam available),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Male,On (All the time),Always On,Phone,Back pain,Yes,Presentations (ppt),Yes,Offline classes
Male,Off (No webcam available),Off (Other reason),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes
Female,On (All the time),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),No,Offline classes
Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),Off (Other reason),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,No,Offline classes
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes
Male,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,Yes,Offline classes
Female,On (All the time),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Computer,Back pain,No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes
Male,On (All the time),Always On,Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Eye Strain,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Stress",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes
Male,Off (Other reason),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes
Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,Off (No webcam available),Off (No mic available),Phone,Stress,No,Black board teaching,No,Offline classes
Female,On (When teacher asks),Off (Other reason),Laptop,Headache,No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,No,Offline classes
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (All the time),Always On,Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes
Male,Off (No webcam available),Off (Other reason),Phone,"Eye Strain, Headache",No,Black board teaching,No,Online classes
Female,Off (Shy to switch on),On (To answer Teacher),Phone,No Issue,No,Presentations (ppt),No,Offline classes
Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Stress",No,Presentations (ppt),No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes
Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",Yes,Black board teaching,Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,Off (No webcam available),Off (No mic available),Computer,Back pain,Yes,Presentations (ppt),Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",No,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Presentations (ppt),No,Online classes
Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes
Female,Off (Untidy appearance),Off (No mic available),Tab,Headache,No,Black board teaching,Yes,Offline classes
Male,On (All the time),Off (Do not want to reply),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes
Female,Off (Other reason),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Online classes
Female,Off (Shy to switch on),Off (No mic available),Laptop,Headache,No,Presentations (ppt),No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,No,Black board teaching,Yes,Offline classes
Male,Off (Other reason),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes
Female,Off (No webcam available),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes
Female,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Headache, Stress",No,Presentations (ppt),No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,No,Presentations (ppt),Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Phone,Back pain,No,Presentations (ppt),No,Offline classes
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Online classes
Female,On (When teacher asks),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes
Female,On (All the time),Always On,"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes
Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Other",Yes,Presentations (ppt),Yes,Offline classes
Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Presentations (ppt),Yes,Offline classes
Female,Off (No webcam available),Off (Other reason),Phone,Stress,No,Black board teaching,No,Offline classes
Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes
Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes
Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Headache, Stress",No,Black board teaching,No,Offline classes
Female,Off (Shy to switch on),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes
Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes
Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Black board teaching,No,Online classes
Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes
Male,Off (Other reason),Off (Other reason),Laptop,Back pain,No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Back pain, Headache",No,Black board teaching,No,Offline classes
Male,Off (Shy to switch on),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes
Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes
Male,On (All the time),Always On,Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes
Male,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes
Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,Yes,Offline classes
Female,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes
Female,Off (Untidy appearance),Off (Do not want to reply),"Phone, Laptop",Headache,No,Presentations (ppt),No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes
Female,On (All the time),Off (Other reason),Laptop,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes
Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes
Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes
Female,Off (Other reason),Off (Other reason),Phone,Other,Yes,Presentations (ppt),Yes,Offline classes
Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes
Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes
Male,Off (Other reason),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes
Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes
Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes
Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab","Eye Strain, Stress",Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes
Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes
Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Online classes
Female,Off (Other reason),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,Yes,Offline classes
Male,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Online classes
Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes
Female,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes
Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache, Other",No,Black board teaching,Yes,Offline classes
Male,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Eye Strain, Stress",No,Presentations (ppt),No,Offline classes
Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes
